id,Task,Response,Score,Feedback
1,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","The statement linking technology negatively with free thinking plays on recent human experience over the past century. Surely there has been no time in history where the lived lives of people have changed more dramatically. A quick reflection on a typical day reveals how technology has revolutionized the world. Most people commute to work in an automobile that runs on an internal combustion engine. During the workday, chances are high that the employee will interact with a computer that processes information on silicon bridges that are .09 microns wide. Upon leaving home, family members will be reached through wireless networks that utilize satellites orbiting the earth. Each of these common occurrences could have been inconceivable at the turn of the 19th century.

The statement attempts to bridge these dramatic changes to a reduction in the ability for humans to think for themselves. The assumption is that an increased reliance on technology negates the need for people to think creatively to solve previous quandaries. Looking back at the introduction, one could argue that without a car, computer, or mobile phone, the hypothetical worker would need to find alternate methods of transport, information processing and communication. Technology short circuits this thinking by making the problems obsolete.

However, this reliance on technology does not necessarily preclude the creativity that marks the human species. The prior examples reveal that technology allows for convenience. The car, computer and phone all release additional time for people to live more efficiently. This efficiency does not preclude the need for humans to think for themselves. In fact, technology frees humanity to not only tackle new problems, but may itself create new issues that did not exist without technology. For example, the proliferation of automobiles has introduced a need for fuel conservation on a global scale. With increasing energy demands from emerging markets, global warming becomes a concern inconceivable to the horse-and-buggy generation. Likewise dependence on oil has created nation-states that are not dependent on taxation, allowing ruling parties to oppress minority groups such as women. Solutions to these complex problems require the unfettered imaginations of maverick scientists and politicians.

In contrast to the statement, we can even see how technology frees the human imagination. Consider how the digital revolution and the advent of the internet has allowed for an unprecedented exchange of ideas. WebMD, a popular internet portal for medical information, permits patients to self research symptoms for a more informed doctor visit. This exercise opens pathways of thinking that were previously closed off to the medical layman. With increased interdisciplinary interactions, inspiration can arrive from the most surprising corners. Jeffrey Sachs, one of the architects of the UN Millenium Development Goals, based his ideas on emergency care triage techniques. The unlikely marriage of economics and medicine has healed tense, hyperinflation environments from South America to Eastern Europe.

This last example provides the most hope in how technology actually provides hope to the future of humanity. By increasing our reliance on technology, impossible goals can now be achieved. Consider how the late 20th century witnessed the complete elimination of smallpox. This disease had ravaged the human race since prehistorical days, and yet with the technology of vaccines, free thinking humans dared to imagine a world free of smallpox. Using technology, battle plans were drawn out, and smallpox was systematically targeted and eradicated.

Technology will always mark the human experience, from the discovery of fire to the implementation of nanotechnology. Given the history of the human race, there will be no limit to the number of problems, both new and old, for us to tackle. There is no need to retreat to a Luddite attitude to new things, but rather embrace a hopeful posture to the possibilities that technology provides for new avenues of human imagination.",6,"The author of this essay stakes out a clear and insightful position on the issue and follows the specific instructions by presenting reasons to support that position. The essay cogently argues that technology does not decrease our ability to think for ourselves, but merely provides ""additional time for people to live more efficiently."" In fact, the problems that have developed alongside the growth of technology (pollution, political unrest in oil-producing nations) actually call for more creative thinking, not less.

In further examples, the essay explains how technology allows for the linking of ideas that may never have been connected in the past (like medicine and economic models), pushing people to think in new ways. Examples are persuasive and fully developed; reasoning is logically sound and well supported.

Ideas in the essay are connected logically, with effective transitions used both between paragraphs (""However"" or ""In contrast to the statement"") and within paragraphs. Sentence structure is varied and complex and the essay clearly demonstrates facility with the ""conventions of standard written English (i.e., grammar, usage and mechanics),"" with only minor errors occurring. Thus, this essay meets all the requirements for receiving a top score, a 6."
2,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","Surely many of us have expressed the following sentiment, or some variation on it, during our daily commutes to work: ""People are getting so stupid these days!"" Surrounded as we are by striding and strident automatons with cell phones glued to their ears, PDA's gripped in their palms, and omniscient, omnipresent CNN gleaming in their eyeballs, it's tempting to believe that technology has isolated and infantilized us, essentally transforming us into dependent, conformist morons best equipped to sideswip one another in our SUV's.

Furthermore, hanging around with the younger, pre-commute generation, whom tech-savviness seems to have rendered lethal, is even less reassuring. With ""Teen People"" style trends shooting through the air from tiger-striped PDA to zebra-striped PDA, and with the latest starlet gossip zipping from juicy Blackberry to teeny, turbo-charged cell phone, technology seems to support young people's worst tendencies to follow the crowd. Indeed, they have seemingly evolved into intergalactic conformity police. After all, today's tech-aided teens are, courtesy of authentic, hands-on video games, literally trained to kill; courtesy of chat and instant text messaging, they have their own language; they even have tiny cameras to efficiently photodocument your fashion blunders! Is this adolescence, or paparazzi terrorist training camp?

With all this evidence, it's easy to believe that tech trends and the incorporation of technological wizardry into our everyday lives have served mostly to enforce conformity, promote dependence, heighten comsumerism and materialism, and generally create a culture that values self-absorption and personal entitlement over cooperation and collaboration. However, I argue that we are merely in the inchoate stages of learning to live with technology while still loving one another. After all, even given the examples provided earlier in this essay, it seems clear that technology hasn't impaired our thinking and problem-solving capacities. Certainly it has incapacitated our behavior and manners; certainly our values have taken a severe blow. However, we are inarguably more efficient in our badness these days. We're effective worker bees of ineffectiveness!

If technology has so increased our senses of self-efficacy that we can become veritable agents of the awful, virtual CEO's of selfishness, certainly it can be beneficial. Harnessed correctly, technology can improve our ability to think and act for ourselves. The first challenge is to figure out how to provide technology users with some direly-needed direction.",5,"The language of this essay clearly illustrates both its strengths and weaknesses. The flowery and sometimes uncannily keen descriptions are often used to powerful effect, but at other times, the writing is awkward and the comparisons somewhat strained. Note, for example, the ungainly sequence of independent clauses in the second-to-last sentence of paragraph 2 (""After all, today's tech-aided teens ..."").

There is consistent evidence of facility with syntax and complex vocabulary (""Surrounded as we are by striding and strident automatons with cell phones glued to their ears, PDA's gripped in their palms, and omniscient, omnipresent CNN gleaming in their eyeballs, it's tempting to believe...""). However, such lucid prose is sometimes countered by an over-reliance on abstractions and reasoning that is not entirely effective. For example, what does the fact that video games ""literally train [teens] to kill"" have to do with the use or deterioration of thinking abilities? On the whole, however, the response develops its ideas about the ways that technology can promote isolation and conformity with well-chosen examples, even if its ideas about the positive effects of technology are less successfully realized.

Because this essay provides generally thoughtful analysis and takes a complex approach to the issue (arguing, in effect, that technology neither enhances nor reduces our ability to think for ourselves, but can do one or the other, depending on the user) and because the author makes use of ""appropriate vocabulary and sentence variety,"" a score of 5 is appropriate."
3,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","In all actuality, I think it is more probable that our bodies will surely deteriorate long before our minds do in any significant amount. Who can't say that technology has made us lazier, but that's the key word, lazy, not stupid. The ever increasing amount of technology that we incorporate into our daily lives makes people think and learn every day, possibly more than ever before. Our abilities to think, learn, philosophize, etc. may even reach limits never dreamed of before by average people. Using technology to solve problems will continue to help us realize our potential as a human race.

If you think about it, using technology to solve more complicating problems gives humans a chance to expand their thinking and learning, opening up whole new worlds for many people. Many of these people are glad for the chance to expand their horizons by learning more, going to new places, and trying new things. If it wasn't for the invention of new technological devices, I wouldn't be sitting at this computer trying to philosophize about technology. It would be extremely hard for children in much poorer countries to learn and think for themselves without the invention of the internet. Think what an impact the printing press, a technologically superior machine at the time, had on the ability of the human race to learn and think.

Right now we are seeing a golden age of technology, using it all the time during our every day lives. When we get up there's instant coffee and the microwave and all these great things that help us get ready for our day. But we aren't allowing our minds to deteriorate by using them, we are only making things easier for ourselves and saving time for other important things in our days. Going off to school or work in our cars instead of a horse and buggy. Think of the brain power and genius that was used to come up with that single invention that has changed the way we move across this globe.

Using technology to solve our continually more complicated problems as a human race is definately a good thing. Our ability to think for ourselves isn't deteriorating, it's continuing to grow, moving on to higher though functions and more ingenious ideas. The ability to use what technology we have is an example",4,"This essay meets all the criteria of a level-4 essay. The writer develops a clear position (""Using technology to solve problems will continue to help us realize our potential as a human race""). The position is then developed with relevant reasons (""using technology to solve more complicat[ed] problems gives humans a chance to expand their thinking and learning"" and ""we are seeing a golden age of technology"").

Point 1, ""using technology,"" is supported with the simple but relevant notion that technology allows us access to information and abilities to which we would not normally have access. Similarly, point 2, the ""golden age,"" is supported by the basic description of our technologically saturated social condition. Though the overall development and organization of the essay does suffer from an occasional misdirection (note paragraph 3's abrupt progression from coffee pots to the benefits of technology to cars), the essay as a whole flows smoothly and logically from one idea to the next.

It is useful to compare this essay to the level-3 essay presented next. Though both essays entail some surface-level discussion and often fail to probe deeply into the issue, this writer does take the analysis a step further. In paragraph 2, the distinction between this essay and the next one (the level-3 response) can most clearly be found. To support the notion that advances in technology actually help increase thinking ability, the writer draws a clever parallel between the promise of modern, sophisticated technology (computer) and the actual ""impact"" of equally ""promising"" and pervasive technologies of the past (printing press).

Like the analysis, the language in this essay clearly meets the requirements for a score of 4. The writer displays sufficient control of language and the conventions of standard written English. The preponderance of mistakes are of a cosmetic nature (""trying to solve more complicating problems.""). In general, these errors are minor and do not interfere with the clarity of the ideas being presented."
4,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","There is no current proof that advancing technology will deteriorate the ability of humans to think. On the contrary, advancements in technology had advanced our vast knowledge in many fields, opening opportunities for further understanding and achievement. For example, the problem of dibilitating illnesses and diseases such as alzheimer's disease is slowing being solved by the technological advancements in stem cell research. The future ability of growing new brain cells and the possibility to reverse the onset of alzheimer's is now becoming a reality. This shows our initiative as humans to better our health demonstrates greater ability of humans to think.

One aspect where the ability of humans may initially be seen as an example of deteriorating minds is the use of internet and cell phones. In the past humans had to seek out information in many different enviroments and aspects of life. Now humans can sit in a chair and type anything into a computer and get an answer. Our reliance on this type of technology can be detrimental if not regulated and regularily substituted for other information sources such as human interactions and hands on learning. I think if humans understand that we should not have such a reliance on computer technology, that we as a species will advance further by utilizing the opportunity of computer technology as well as the other sources of information outside of a computer. Supplementing our knowledge with internet access is surely a way for technology to solve problems while continually advancing the human race.",3,"This essay never moves beyond a superficial discussion of the issue. The writer attempts to develop two points: that advancements in technology have progressed our knowledge in many fields and that supplementing rather than relying on technology is ""surely a way for technology to solve problems while continually advancing the human race."" Each point, then, is developed with relevant but insufficient evidence. In discussing the potential of technology to advance knowledge in many fields (a broad subject, rife with possible examples), the writer uses only one limited and very brief example from a specific field (medicine and stem-cell research).

Development of the second point is hindered by a lack of specificity and organization. The writer creates what might be best described as an outline. The writer cites a need for regulation/supplementation and warns of the detriment of over-reliance upon technology. However, the explanation of both the problem and solution is vague and limited (""Our reliance ... can be detrimental. If humans understand that we should not have such a reliance ... we will advance further""). There is neither explanation of consequences nor clarification of what is meant by ""supplementing."" This second paragraph is a series of generalizations that are loosely connected and lack a much-needed grounding.

In the essay, there are some minor language errors and a few more serious flaws (e.g., ""The future ability of growing new brain cells"" or ""One aspect where the ability of humans may initially be seen as an example of deteriorating minds""). Despite the accumulation of such flaws, the writer's meaning is generally clear. Thus, this essay earns a score of 3."
5,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","In recent centuries, humans have developed the technology very rapidly, and you may accept some merit of it, and you may see a distortion in society occured by it. To be lazy for human in some meaning is one of the fashion issues in thesedays. There are many symptoms and resons of it. However, I can not agree with the statement that the technology make humans to be reluctant to thinkng thoroughly.

Of course, you can see the phenomena of human laziness along with developed technology in some place. However, they would happen in specific condition, not general. What makes human to be laze of thinking is not merely technology, but the the tendency of human that they treat them as a magic stick and a black box. Not understanding the aims and theory of them couses the disapproval problems.

The most important thing to use the thechnology, regardless the new or old, is to comprehend the fundamental idea of them, and to adapt suit tech to tasks in need. Even if you recognize a method as a all-mighty and it is extremely over-spec to your needs, you can not see the result you want. In this procedure, humans have to consider as long as possible to acquire adequate functions. Therefore, humans can not escape from using their brain.

In addition, the technology as it is do not vain automatically, the is created by humans. Thus, the more developed tech and the more you want a convenient life, the more you think and emmit your creativity to breakthrough some banal method sarcastically.

Consequently, if you are not passive to the new tech, but offensive to it, you would not lose your ability to think deeply. Furthermore, you may improve the ability by adopting it.",2,"The language of this essay is what most clearly links it to the score of 2. Amidst sporadic moments of clarity, this essay is marred by serious errors in grammar, usage and mechanics that often interfere with meaning. It is unclear what the writer means when he/she states, ""To be lazy for human in some meaning is one of the fashion issues in thesedays,"" or ""to adapt suit tech to tasks in need.""

Despite such severe flaws, the writer has made an obvious attempt to respond to the prompt (""I can not agree with the statement that the technology make humans to be reluctant to thinking thoroughly"") as well as an unclear attempt to support such an assertion (""Not understanding the aims and theory of them [technology] couses the disapproval problems"" and ""The most important thing to use the thechnology ... is to comprehend the fundamental idea of them""). On the whole, the essay displays a seriously flawed but not fundamentally deficient attempt to develop and support its claims.

(Note: In this specific case, the analysis is tied directly to the language. As the language falters, so too does the analysis.)"
6,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.

Discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.",Humans have invented machines but they have forgot it and have started everything technically so clearly their thinking process is deterioating.,1,"The essay is clearly on topic, as evidenced by the writer's usage of the more significant terms from the prompt: ""technically"" (technologically), ""humans,"" ""thinking"" (think) and ""deteriorating"" (deteriorate). Such usage is the only clear evidence of understanding. Meaning aside, the brevity of the essay (one sentence) clearly indicates the writer's inability to develop a response that follows the specific instructions given (""Discuss the extent to which you agree or disagree with the statement above and explain your reasoning for the position you take"").

The language, too, is clearly level 1, as the sentence fails to achieve coherence. The coherent phrases in this one-sentence response are those tied to the prompt: ""Humans have invented machines"" and ""their thinking process is deteriorating."" Otherwise, the point being made is unintelligible."
7,"The best ideas arise from a passionate interest in commonplace things. Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","Passion is clearly necessary for a truly great idea
to take hold among a people—passion either on the
part of the original thinker, the audience, or ideally
both. The claim that the most lucrative subject
matter for inspiring great ideas is “commonplace
things” may seem initially to be counterintuitive. After
all, aren’t great ideas usually marked by their
extraordinary character? While this is true, their
extraordinary character is as often as not directly
derived from their insight into things that had
theretofore gone unquestioned. While great ideas
certainly can arise through seemingly pure
innovation... say, for example, Big Bang cosmology,
which developed nearly all of its own scientific and
philosophical precepts through its own process of
formation, it is nevertheless equally true that such
groundbreaking thought was, and is, still largely a
reevaluation of previous assumptions to a radical
degree... after all, the question of the ultimate nature
of the universe, and man’s place in it, has been
central to human thought since the dawn of time.
Commonplace things are, additionally, necessary as

material for the generation of “the best ideas” since
certainly the success among an audience must be
considered in evaluating the significance and quality
of an idea.

The advent of Big Bang cosmology, which occured
in rudimentary form almost immediately upon
Edwin Hubble’s first observations at the Hooker
telescope in California during the early 20th century,
was the most significant advance in mankind’s
understanding of the universe in over 400 years. The
seemingly simple fact that everything in the universe,
on the very large scale, is moving away from
everything else in fact betrays nearly all of our
scientific knowledge of the origins and mechanics of
the universe. This slight, one might even say
commonplace, distortion of tint on a handful of
photographic plates carried with it the greatest
challenge to Man’s general, often religiously
reinforced, conception of the nature of the world to
an extent not seen since the days of Galileo. Not even
Charles Darwin’s theory, though it created more of a
stir than Big Bang cosmology, had such shattering
implications for our conceptions of the nature of our
reality. Yet it is not significant because it introduced

the question of the nature of what lies beyond Man’s
grasp. A tremendous number of megalithic ruins,
including the Pyramids both of Mexico and Egypt,
Stonehenge, and others, indicate that this question
has been foremost on humankind’s collective mind
since time immemorial. Big Bang cosmology is so
incredibly significant in this line of reasoning exactly
because of the degree to which it changed the
direction of this generally held, constantly pondered,
and very ancient train of thought.

Additionally, there is a diachronic significance to
the advent of Big Bang cosmology, which is that,
disregarding limitations such as the quality of optical
devices available and the state of theoretical math, it
could have happened at any point in time. That is to
say, all evidence points to roughly the same raw
intellectual capacity for homo sapiens throughout our
history, our progress has merely depended upon the
degree of it that a person happens to inherit, a pace
that has been increasing rapidly since the industrial
revolution. Yet this discovery had to happen at a
certain point in time or another—it cannot have been
happening constantly or have never happened yet
still be present—and this point in time does have its

own significance. That significance is precisely the
fact that the aforementioned advent must have
occurred at precisely the point in time at which it
truly could have occured—that is to say, it marks the
point in our history when we had progressed
sufficiently to begin examining, with remarkable
substantiated acuity, the workings of the universe
across distances that would take millions of human
lifetimes to reach or to traverse. The point for the
success of this advent must necessarily have been,
additionally, the point at which the audience
concerned was capable and prepared to accept such a
radical line of reasoning.

Both factors, a radical, passionate interpretation
of the commonplace and the preparedness to accept
such an interpretation, are necessary for the
formulation of a truly great idea. If the passion is
absent from an inquiry by the thinker or by the bulk
of an audience, the idea will die out if it comes to
fruition at all. If the material is not sufficiently
commonplace to be considered by an informed
audience of sufficient size, the same two hazards
exist. Given these two factors, the idea must still be
found palatable and interesting by the audience if it is

to hope to gain a foothold and eventually establish
itself in a significant fashion.",6,"This outstanding response presents a cogent,
well-articulated analysis of the complexities of the
issue by arguing that (1) great ideas develop from
commonplace observations that are interpreted in a
radical way; and (2) passion is required of both
thinkers and the audience in order for great ideas to
take hold.

The argument is based on an extended example
(Big Bang cosmology) and has two parts. The first
part defines “commonplace things” as universal
questions (i.e., the quest to understand the cosmos is
commonplace, though complex, because it is an
ancient and universal question) and places Big Bang
cosmology in context with the scientific
breakthroughs of Galileo and the Pyramids of ancient
Mexico and Egypt. The second part explains Big Bang
as the result of a convergence of factors: both
thinkers and the audience must be ready to
reevaluate “previous assumptions” and accept
“radical, passionate interpretations.”

The argument’s careful line of reasoning is
strengthened by appropriate transitions between
paragraphs (“Additionally,” “Both factors, a radical,
passionate interpretation of the commonplace and the
preparedness to accept such an interpretation, are
necessary for the formulation of a truly great idea,”
etc.) and within paragraphs (“Not even Charles
Darwin’s,” “Yet,” “that is to say,” etc.). Fluent and
precise language—advent, rudimentary, diachronic,
shattering implications, megalithic ruins—and
effective sentence variety also characterize this
response as outstanding. Finally, despite the
presence of minor errors (overuse of comma and
inconsistent use of ellipses in paragraph 1), this
response demonstrates facility with the conventions
of standard written English."
8,"The best ideas arise from a passionate interest in commonplace things. Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","The statement above comes from the perspective
that the best thinkers, inventors, and innovators are
the way that they are because they explore
passionately the interesting things around them. Yes,
I would say that this is definitely true. I understand
best the things that interest me, but it is only the
things with which I am familiar with and understand
in my surroundings. It would be difficult to take
passionate interest in the things which I did not have
available in my environment.

For example, let’s consider some “idea” people in
history. The person who invented the basketball
hoop, or the game of volleyball, or ice skates, all had
interest in those things before they had their brilliant
ideas. I do know that the inventor of the basketball
hoop used to coach a basketball team of young boys,
and they would throw the ball into a fruit basket that
was nailed to the wall. Obviously, a basket has a
bottom to it, and they would have to fish it out after
every successful throw. So he had the brilliant idea of
cutting out the bottom of the basket. It seems so
simple to us now, but nobody had ever played
basketball like that in his day.

The phrase, “commonplace things” can be rather
misleading, I believe. I think every person has
slightly different “commonplace things” in their
environment depending on their interests, their
financial status, and availability of items. What is
commonplace for one person may never be known by
another. I take passionate interest in things having to
do with sewing using patterns, fabrics and threads.
However, my mother and grandmother are excellent
seamstresses and I had the availability of learning
from them. It was a “commonplace thing” for me. I
have had some wonderful ideas come out of my
passion for this kind of art.

Orville and Wilbur Wright had a passionate
interest in things having to do with flight, a rather
ordinary thing for the sorts of birds who can fly with
their wings, but certainly not people. If I had lived
during the Wright brothers’ time, I would probably
not have had the same passionate interest in figuring
out how to make humans fly, because it is not
something that I would have thought possible. But
their dreams and visionary possibilities were much
bigger than mine would have been at that time. They
not only had a passionate interest but they were
willing to experiment, to risk financial ruin and
ridicule, and even put their lives on the line. So while
it is true that the best ideas arise from a passionate
interest in commplace things, there also has to be an
element of daring to challenge “norms” and not being
able to just accept things as they are. There has to be
a desire to make things better and to improve on the
present.

There also has to be the element of not being
afraid of failure. Most ideas do inevitably fail. Einstein
is viewed today as being one of the most brilliant
thinkers and “idea” people in all of history. But
nobody really talks about how many times his ideas
failed. The number is quite amazing. Many people are
afraid of failure, so even though they make take a
passionate interest in something commonplace, and
have some great ideas, they may never carry them
through because of uncertainty that they would work.
We must be willing to try!

So, yes, it is true that the best ideas arise
from a passionate interest in commonplace things,
because these are the things that we know, these are
the things that we understand, and the things that we
want to explore in even more depths. But there must
be more elements involved than just taking interest
in something. We must be willing to face risks of
many kinds in order to separate the ideas that fail
from the ones that will triumphantly succeed.",5,"This strong response presents a well-considered
analysis of the complexities of the issue by arguing
that great ideas come, not only from a passionate
interest in the commonplace, but also from great
imagination and a willingness to succeed.

The logic of the response unfolds very smoothly:
paragraph 3 explores the term “commonplace” and
offers support for the prompt’s position; paragraphs 4
and 5 discuss the related issues of imagination,
willingness to experiment, and overcoming failure.
The examples are well chosen and generally well
developed.

Paragraph 2 offers a relevant, though predictable,
sports example (invention of basketball hoop) to
examine how commonplace things/familiarity can
spark great ideas. A personal example is used in
paragraph 3 to further explore the definition of
“commonplace” and illustrate how the term is relative
to financial status and availability (though only the
concept of availability is developed in this example).

Paragraph 2 logically extends into paragraph 3, and
the same connection is seen between paragraphs 4
and 5. In paragraph 4 the Wright brothers are used
to argue that great ideas also come from imagination
and a willingness to experiment. The final example, in
which Einstein is offered to illustrate the necessity of
overcoming failure, is not as fully developed as the
others. The respondent does not explain what failures
Einstein endured or how he overcame them, which
makes the example less compelling. Overall, the
analysis demonstrated in the examples is “perceptive
and clear,” but not “insightful and cogent” as required
for a score of 6.

While the response expresses ideas clearly, using
appropriate vocabulary and sentence variety, it does
not use language as fluently and precisely as would a
typical 6. Occasional wordiness/ awkwardness could
be avoided with more precise diction (e.g., “There
also has to be the element of not being afraid of
failure,” or “I have had some wonderful ideas come
out of my passion for this kind of art”)."
9,"The best ideas arise from a passionate interest in commonplace things. Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","In agreement with the statement, many great
inventions have come from individuals interested in
commonplace things. Out of simplicity arises great
ideas, and I would consider commonplace things to
be simplistic. However, it is hard to say that the
“best” ideas arise from passion in commonplace
things, because one could argue that the best ideas
involve interest in remarkable things, which is what
makes them the “best” ideas.

If the statement is viewed from the standpoint of
all ideas from the beginning of civilization, then the
statement holds true. Examples of commonplace
things are food and shelter. If a person had an
abundance of food and needed to transport it, they
may have the idea to weave a basket or make some
sort of tote in order to load more at once. With that
idea, eventually the people would think of things to
make the first idea more useful, such as adding
wheels to your carrying device. With shelter, first
people (Cro-Magnon)may have kept out of weather
and unsafe territory by using caves as shelter. From
passionate interest in the common shelter a person
may have come up with brilliant ideas about
structures, architecture, and construction.

In concern with the opposing view that the best
ideas arise from remarkable things, one could argue
that best ideas are medical breakthroughs and all
other aspects of Science. Working with substances
and molecules and creating ions and isotopes is not a
commonplace thing. However, it is what the people
who make the scientific breakthroughs have
passionate interest in expanding.

Looking at the big picture, I would say that if
people did not have “passionate interest in
commonplace things”, then the idea that led us to the
remarkable things would have never occurred. If that
is true then the statement holds true because the
best ideas do arise from a passionate interest in
commonplace things. Though some older ideas may
seem obsolete now, there was a time that without
those ideas, we would still be in the dark ages.

Overall, I agree with the statement. The best
ideas do arise from a passionate interest in
commonplace things. Though I do not consider
medical breakthroughs coming from interest in
commonplace things, our species appears to be
reaching the point in which cancer and AIDS could be
considered a commonplace thing. If that is true, then
when someone finds a cure for cancer or AIDS it will
be one of the best ideas arising from a passionate
interest in a commonplace thing. Once again
reinforcing the truth of the statement.",4,"This response presents a competent analysis and
conveys meaning adequately.

Paragraph 2 offers appropriate and adequately
developed examples from “the beginning of
civilization” to illustrate how commonplace needs
inspire innovation: the need to transport food led to
the invention of woven baskets and, eventually, the
invention of the wheel; similarly, the need for shelter
that drove “Cro-Magnon” to the caves eventually
inspired “brilliant ideas about structures, architecture,
and construction.”

Paragraph 3, which explores the “opposing view”
(the best ideas arise from remarkable things), is less
developed. The respondent claims that the best ideas
are “medical breakthroughs and all other aspects of
Science,” without explaining what is meant by
“Science” or why these types of ideas are the “best.”
Does “Science” include engineering, computer
sciences, and the social sciences? Why are advances
in science and medicine better than advances in
religion, the arts, or philosophy? The response also
fails to acknowledge the commonplace interests
(e.g., desire to improve quality of life) that drive
medical/scientific research. While the response
addresses two sides of the issue, it never delves into
complexity the way a 5 or 6 would.

In paragraph 4, the response comes to a new
conclusion: without initial interest in commonplace
things, interest in remarkable things would be
impossible. This is an interesting position that,
if developed and supported with well-chosen
examples, could lead to complex analysis. However,
the conclusion is merely stated, loosely supported
with generalities, and then further confounded by
shaky logic in paragraph 5.

Ideas are expressed with reasonable clarity and
the response generally demonstrates control of
language. It is lack of complexity and logical
development that keep this response from earning a
higher score."
10,"The best ideas arise from a passionate interest in commonplace things. Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.","How do new knowledge came into being?
Sometimes it stemed from exsiting knowledge.
Sometimes it was born all out of sudden. Both ways
seem work well. As I see through this question, I
believe that what plays a key role in creating new
ideas is a passionate interest.

Throughout history, a myriad of examples help
prove the importance of interest. Edison, the greatest
inventors in the world, posessed a sharp interest ever
since his childhood. In his eyes, every common things
were full of mysteries. It was his unique interest
which helped him look into the machanism of things
around therefore new iders came into his mind and,
changed into conceret machines facilitating our lives.
Another famous example is that of Newton. A riped
apple from a tree fell onto his head one afternoon.
For ordinary people, this kind of trivial instance would
slip off their mind at once. However, Newton lost
hisself in thought of the relation between objects.
Finally he found gravitation and opened up a new era
of physics.

On the other hand, without interest, the
opportunity of great discoveries will pass by. Most
people are experiencing ordinary lives everyday. Why
don’t they come up with great ideas? Because
interest is a state of skeptism, a state in which we do
not stop to disclose the truth beneath a surface of
commonplaces. Interest means the ability to explore
the internal corelations. Therefore, with a passiontae
interest, those commonplace things are no longer
commonplace, and new ideas are created.

From what have been discussed above, we can
see that interest serves as force to propell the
exploration of unknowns, to perfect the structure of
human knowledge, and to move towards the ultimate
truth.",3,"This limited response demonstrates some
competence in its analysis and in conveying meaning
but is obviously flawed.

The response agrees with the prompt by arguing
that a passionate interest allows people to see
beyond the commonplace and create new ideas
(paragraphs 1 and 3). However, the response is
limited in presenting and developing this position.

In paragraph 2 the response offers two relevant
but underdeveloped examples to illustrate the
importance of interest in generating ideas. The Edison
example is not persuasive because its development is
limited to generalities (“common things were full of
mysteries...which helped him look into the
machanism of things...therefore new iders came into
his mind and, changed into conceret machines”). The
response does not provide specific examples of the
common “things” that interested Edison nor does it
discuss any of Edison’s particular ideas. Thus, it does
little to advance the response’s position. The Newton
example is not penalized for historical inaccuracy.
However, like the previous example, it is overly
general and underdeveloped.

The response also contains an accumulation of
language errors (in usage, word choice, and sentence
structure) that often result in a lack of clarity. For
instance, the rhetorical device used in paragraph 1
contains frequent errors that render it ineffective. The
imprecise language use in the Newton example is
particularly unsettling: “Newton lost hisself in
thought of the relation between objects. Finally he
found gravitation and opened up a new era of
physics.” While these errors do not generally interfere
with meaning, they constitute a lack of language
control that precludes a score of 4."
